Date	Price	Open	High	Low	Change %
1-Oct-14	383	387.02	388.96	377.04	-1.07
30-Sep-14	387.14	374.17	392.13	371.99	4.75
29-Sep-14	369.6	376.75	383	367.26	-1.36
28-Sep-14	374.71	398.77	399.43	369.95	-5.67
27-Sep-14	397.25	400.42	405	395.12	-1.42
26-Sep-14	402.97	411.23	414.79	397	-1.5
25-Sep-14	409.09	420.59	420.6	404	-2.69
24-Sep-14	420.41	426.68	430	408.6	-2.03
23-Sep-14	429.13	398.87	440.5	395.42	7.91
22-Sep-14	397.67	400.1	406.18	394	-0.75
21-Sep-14	400.69	409.34	412.52	394.19	-2.65
20-Sep-14	411.59	396.48	427.27	392.55	4.13
19-Sep-14	395.27	426.8	428.39	389.88	-7.47
18-Sep-14	427.18	456.7	459.97	412.02	-6.48
17-Sep-14	456.77	465.72	469	450.35	-1.8
16-Sep-14	465.13	466.8	475.11	464.35	-1.02
15-Sep-14	469.9	476.49	478.79	469.9	-1.38
14-Sep-14	476.49	477.16	479.1	474.3	-0.34
13-Sep-14	478.1	471.2	480.75	470.79	1.33
12-Sep-14	471.81	475.68	477.85	467.75	-1.11
11-Sep-14	477.09	479.64	480.75	470.1	-0.05
10-Sep-14	477.33	474.01	487	473.3	0.99
9-Sep-14	472.66	470.95	475.45	463.33	0.47
8-Sep-14	470.43	476.7	478.11	462.17	-1.94
7-Sep-14	479.73	481.14	483.62	479.73	-0.33
6-Sep-14	481.32	481.39	485	479.59	0.78
5-Sep-14	477.59	487.07	488.61	477.59	-2.37
4-Sep-14	489.2	473.7	494.28	473.27	3.2
3-Sep-14	474.04	478.5	478.85	473.35	-0.58
2-Sep-14	476.79	481.6	485.83	475	-1.86
1-Sep-14	485.83	487.35	489.49	479.09	0.51
31-Aug-14	483.37	503.07	503.99	482.27	-3.13
30-Aug-14	499	506.86	506.86	499	-1.68
29-Aug-14	507.52	506.01	510.07	503	-0.05
28-Aug-14	507.75	512.04	513.33	506.6	-0.63
27-Aug-14	510.99	512.94	518	510.99	0.5
26-Aug-14	508.43	507	514.65	505.47	1.18
25-Aug-14	502.5	506.31	511	498.2	-0.95
24-Aug-14	507.3	500.69	512.78	500	1.43
23-Aug-14	500.15	510.5	511.58	498.95	-2.99
22-Aug-14	515.57	518.37	521.5	502	-0.06
21-Aug-14	515.87	515.62	528.99	509.97	-0.21
20-Aug-14	516.98	492.07	524.99	471.74	5.44
19-Aug-14	490.3	470	498	470	2.53
18-Aug-14	478.2	504.17	506.67	462.37	-4.61
17-Aug-14	501.32	525.39	527.01	490.13	-4.9
16-Aug-14	527.17	502.68	527.78	489.49	4.14
15-Aug-14	506.23	517.25	525	489.99	-0.74
14-Aug-14	510	549	549	503	-7.1
13-Aug-14	549	567.57	567.69	530.52	-3
12-Aug-14	566	570	570.55	563	-1.14
11-Aug-14	572.5	582.71	583.15	572.5	-1.29
10-Aug-14	580	581.86	586.41	580	-0.57
9-Aug-14	583.3	583.03	583.91	581.29	-0.53
8-Aug-14	586.41	582.93	587.63	582.93	0.71
7-Aug-14	582.25	577.51	583.35	577.51	0.82
6-Aug-14	577.5	575.25	583.7	574.26	0.44
5-Aug-14	574.95	581.95	583.99	574.19	-1.06
4-Aug-14	581.11	583.14	587.81	581.11	-0.16
3-Aug-14	582.06	583.86	583.86	578.34	-0.97
2-Aug-14	587.75	593.31	593.31	583.68	-1.21
1-Aug-14	594.92	578	606.1	100	2.74
31-Jul-14	579.04	554	586	553.5	5.09
30-Jul-14	551	575.37	575.83	550	-4.17
29-Jul-14	575	579.99	585.71	566.23	-1.94
28-Jul-14	586.38	585	587.99	571	-0.7
27-Jul-14	590.5	594.29	595	589.99	-0.59
26-Jul-14	594	598.96	598.96	590.15	-0.67
25-Jul-14	598	600.93	605.33	595	-0.38
24-Jul-14	600.31	616.84	616.86	593.2	-2.74
23-Jul-14	617.21	611.96	618.6	609.98	0.75
